date,product_name,category,quantity,unit_price,total_amount,customer_type
01-04-2024,Wheel Balancing Weight Set,Tyres & Wheels,2,104,208,Retail
01-04-2024,Tube 165/70R14,Tyres & Wheels,10,488,4880,Fleet
01-04-2024,Indicator Bulb Set,Electrical,4,91,364,Workshop
01-05-2024,Radiator Hose Lower,Engine Parts,1,423,423,Retail
01-05-2024,Exide Battery 35AH,Electrical,1,3227,3227,Retail
01-05-2024,Hydraulic Filter,Filters,2,331,662,Workshop
01-06-2024,Bosch Oil Filter,Filters,6,156,936,Workshop
01-06-2024,Amaron Battery 45AH,Electrical,3,4309,12927,Retail
01-06-2024,Coolant (500ml),Consumables,1,211,211,Retail
01-06-2024,Wiper Blade 14inch,Body Parts,6,228,1368,Fleet
02-04-2024,Piston Ring Set,Engine Parts,2,2211,4422,Retail
02-05-2024,Headlight Bulb H4,Electrical,1,239,239,Retail
02-05-2024,Engine Oil 10W40 (1L),Consumables,2,411,822,Retail
02-05-2024,Wiper Blade 16inch,Body Parts,4,243,972,Workshop
02-05-2024,Bosch Brake Pads (Rear),Engine Parts,2,796,1592,Retail
02-05-2024,Engine Oil 5W30 (1L),Consumables,5,421,2105,Workshop
02-06-2024,Valve Seal Kit,Engine Parts,7,502,3514,Workshop
02-06-2024,Wheel Balancing Weight Set,Tyres & Wheels,2,84,168,Retail
03-04-2024,Piston Ring Set,Engine Parts,3,2560,7680,Workshop
03-04-2024,Radiator Hose Upper,Engine Parts,8,392,3136,Workshop
03-06-2024,Clutch Plate Set,Engine Parts,2,2063,4126,Retail
03-06-2024,Bosch Oil Filter,Filters,1,163,163,Retail
03-06-2024,Clutch Plate Set,Engine Parts,2,1879,3758,Retail
04-04-2024,Alternator Belt,Electrical,6,335,2010,Fleet
04-04-2024,NGK Spark Plug,Engine Parts,2,124,248,Workshop
04-04-2024,NGK Air Filter,Filters,8,187,1496,Workshop
04-05-2024,Indicator Bulb Set,Electrical,1,85,85,Retail
04-05-2024,Wiper Blade 14inch,Body Parts,3,224,672,Retail
04-05-2024,CEAT Tyre 155/70R13,Tyres & Wheels,3,2905,8715,Workshop
04-05-2024,Engine Oil 10W40 (1L),Consumables,1,437,437,Retail
04-06-2024,Hydraulic Filter,Filters,1,290,290,Retail
04-06-2024,Bearing Front Wheel,Engine Parts,1,744,744,Retail
04-06-2024,Exide Battery 35AH,Electrical,4,3218,12872,Workshop
04-06-2024,Wiper Blade 14inch,Body Parts,6,225,1350,Workshop
04-06-2024,Bearing Rear Wheel,Engine Parts,3,808,2424,Retail
05-05-2024,Bearing Front Wheel,Engine Parts,2,684,1368,Retail
05-05-2024,Engine Oil 5W30 (1L),Consumables,3,428,1284,Retail
05-06-2024,Bearing Rear Wheel,Engine Parts,3,811,2433,Retail
05-06-2024,Brake Fluid DOT3,Consumables,4,155,620,Workshop
05-06-2024,Alternator Belt,Electrical,3,252,756,Retail
06-04-2024,Apollo Tyre 185/65R15,Tyres & Wheels,4,4158,16632,Workshop
06-04-2024,Door Handle (Front),Body Parts,3,461,1383,Workshop
06-04-2024,Apollo Tyre 185/65R15,Tyres & Wheels,3,3817,11451,Retail
06-04-2024,Timing Belt Kit,Engine Parts,3,1222,3666,Retail
06-05-2024,Lucas Battery 35AH,Electrical,14,3119,43666,Fleet
06-05-2024,MRF Tyre 165/70R14,Tyres & Wheels,1,3367,3367,Retail
06-05-2024,Grease Cartridge,Consumables,5,73,365,Workshop
06-06-2024,Lucas Battery 35AH,Electrical,8,3262,26096,Workshop
07-04-2024,Indicator Bulb Set,Electrical,2,84,168,Retail
07-04-2024,NGK Spark Plug,Engine Parts,1,114,114,Retail
07-04-2024,Bearing Front Wheel,Engine Parts,7,773,5411,Fleet
07-05-2024,Bearing Front Wheel,Engine Parts,2,721,1442,Retail
07-05-2024,Amaron Battery 45AH,Electrical,13,4335,56355,Fleet
07-05-2024,Grease Cartridge,Consumables,7,72,504,Workshop
07-05-2024,Door Handle (Front),Body Parts,1,541,541,Retail
07-06-2024,Door Handle (Front),Body Parts,8,529,4232,Workshop
07-06-2024,MRF Tyre 165/70R14,Tyres & Wheels,2,3246,6492,Retail
08-04-2024,Engine Oil 10W40 (1L),Consumables,6,419,2514,Fleet
08-04-2024,Indicator Bulb Set,Electrical,5,65,325,Workshop
08-04-2024,Radiator Hose Lower,Engine Parts,7,422,2954,Workshop
08-04-2024,Champion Spark Plug,Engine Parts,3,89,267,Workshop
08-05-2024,Wheel Balancing Weight Set,Tyres & Wheels,4,94,376,Workshop
08-05-2024,Clutch Plate Set,Engine Parts,4,1851,7404,Workshop
08-05-2024,Timing Belt Kit,Engine Parts,1,1232,1232,Retail
08-06-2024,Lucas Battery 35AH,Electrical,1,2806,2806,Retail
08-06-2024,Bosch Brake Pads (Front),Engine Parts,2,897,1794,Retail
08-06-2024,Fuel Filter,Filters,2,216,432,Retail
08-06-2024,Side Mirror (Left),Body Parts,3,597,1791,Retail
09-04-2024,Chain Lubricant,Consumables,3,126,378,Retail
09-04-2024,Radiator Hose Lower,Engine Parts,2,359,718,Retail
09-04-2024,Headlight Bulb H4,Electrical,5,276,1380,Workshop
09-04-2024,Door Handle (Front),Body Parts,7,432,3024,Workshop
09-04-2024,Alternator Belt,Electrical,6,336,2016,Workshop
09-05-2024,Valve Seal Kit,Engine Parts,3,650,1950,Retail
09-05-2024,Engine Oil 10W40 (1L),Consumables,3,435,1305,Retail
09-05-2024,Clutch Plate Set,Engine Parts,1,2099,2099,Retail
09-05-2024,Bearing Rear Wheel,Engine Parts,1,772,772,Retail
09-06-2024,CEAT Tyre 155/70R13,Tyres & Wheels,2,2669,5338,Retail
09-06-2024,NGK Air Filter,Filters,1,253,253,Retail
09-06-2024,Bosch Oil Filter,Filters,7,158,1106,Workshop
09-06-2024,Coolant (500ml),Consumables,1,203,203,Retail
09-06-2024,Alternator Belt,Electrical,8,326,2608,Workshop
09-06-2024,Bearing Front Wheel,Engine Parts,3,894,2682,Retail
10-04-2024,NGK Air Filter,Filters,7,189,1323,Workshop
10-05-2024,Headlight Bulb H4,Electrical,1,204,204,Retail
10-05-2024,Headlight Bulb H4,Electrical,2,230,460,Retail
10-05-2024,Bearing Rear Wheel,Engine Parts,1,707,707,Retail
10-05-2024,Wheel Balancing Weight Set,Tyres & Wheels,2,108,216,Retail
10-06-2024,MRF Tyre 165/70R14,Tyres & Wheels,7,3687,25809,Workshop
10-06-2024,Bosch Brake Pads (Rear),Engine Parts,1,680,680,Retail
10-06-2024,Tube 165/70R14,Tyres & Wheels,2,481,962,Retail
11-04-2024,NGK Spark Plug,Engine Parts,5,111,555,Workshop
11-05-2024,Radiator Hose Lower,Engine Parts,1,333,333,Retail
11-05-2024,Bearing Rear Wheel,Engine Parts,1,813,813,Retail
11-05-2024,Exide Battery 35AH,Electrical,4,3476,13904,Workshop
11-06-2024,Indicator Bulb Set,Electrical,2,66,132,Retail
