date,product_name,category,quantity,unit_price,total_amount,customer_type
01-07-2024,Engine Oil 10W40 (1L),Consumables,2,381,762,Retail
01-07-2024,NGK Air Filter,Filters,6,187,1122,Workshop
01-07-2024,Valve Seal Kit,Engine Parts,2,650,1300,Workshop
01-07-2024,Radiator Hose Lower,Engine Parts,6,326,1956,Workshop
01-08-2024,Coolant (500ml),Consumables,1,206,206,Retail
01-08-2024,NGK Air Filter,Filters,3,194,582,Retail
01-08-2024,Valve Seal Kit,Engine Parts,2,596,1192,Workshop
01-08-2024,Engine Oil 10W40 (1L),Consumables,2,389,778,Retail
01-09-2024,Wheel Balancing Weight Set,Tyres & Wheels,3,115,345,Retail
01-09-2024,Bumper Clip Set,Body Parts,7,117,819,Workshop
01-09-2024,CEAT Tyre 155/70R13,Tyres & Wheels,3,2940,8820,Workshop
01-09-2024,Bosch Oil Filter,Filters,3,140,420,Retail
01-09-2024,Wiper Blade 14inch,Body Parts,3,269,807,Retail
02-07-2024,Bosch Brake Pads (Front),Engine Parts,2,803,1606,Retail
02-07-2024,Wiper Blade 14inch,Body Parts,2,216,432,Retail
02-07-2024,Champion Spark Plug,Engine Parts,7,118,826,Workshop
02-08-2024,NGK Spark Plug,Engine Parts,8,112,896,Workshop
02-09-2024,Wiper Blade 14inch,Body Parts,3,264,792,Workshop
02-09-2024,Lucas Battery 35AH,Electrical,7,3327,23289,Fleet
03-07-2024,MRF Tyre 165/70R14,Tyres & Wheels,3,3505,10515,Retail
03-08-2024,Engine Oil 5W30 (1L),Consumables,2,450,900,Retail
03-08-2024,Bosch Brake Pads (Rear),Engine Parts,5,698,3490,Workshop
03-08-2024,Brake Fluid DOT3,Consumables,3,145,435,Workshop
03-08-2024,Bearing Rear Wheel,Engine Parts,2,681,1362,Retail
03-09-2024,Wiper Blade 16inch,Body Parts,2,215,430,Retail
03-09-2024,Chain Lubricant,Consumables,6,90,540,Workshop
03-09-2024,Piston Ring Set,Engine Parts,13,2610,33930,Fleet
04-07-2024,Champion Spark Plug,Engine Parts,1,118,118,Retail
04-07-2024,Fuel Filter,Filters,7,220,1540,Fleet
04-07-2024,Cabin Air Filter,Filters,8,298,2384,Workshop
